Timestamp,Program,Indent,UI,Lang,OS,Browser,DE
8/16/2016 13:43:37,C,Spaces,Terminal,Scala,macOS,Chrome,Eclipse
8/15/2016 23:03:58,D,Tabs,GUI,C#,Windows 10,Chrome,Eclipse
11/16/2016 14:31:25,D,Spaces,GUI,Scala,Windows 7,Firefox,NetBeans
11/20/2016 19:43:38,D,Tabs,GUI,Java,Windows 7,Chrome,Eclipse
11/21/2016 16:49:52,D,Tabs,GUI,C++,Linux,Chrome,Visual Studio
11/21/2016 21:09:18,D,Spaces,Terminal,Scala,Linux,Firefox,Vim
11/21/2016 21:10:38,D,Tabs,GUI,C#,Windows 10,Chrome,Visual Studio
11/21/2016 21:19:53,D,Spaces,Terminal,Scala,Linux,Firefox,IntelliJ
11/21/2016 21:27:44,D,Tabs,Terminal,Java,Linux,Chrome,Vim
11/21/2016 21:47:09,D,Tabs,GUI,Java,Linux,Chrome,Eclipse
11/21/2016 22:31:53,F,Spaces,Terminal,Java,macOS,Chrome,Sublime Text
11/21/2016 23:30:17,D,Tabs,Terminal,Scala,Linux,Firefox,Emacs
11/22/2016 1:59:27,D,Spaces,Terminal,Java,Windows 10,Chrome,Eclipse
11/22/2016 8:44:44,D,Tabs,Terminal,Java,Linux,Firefox,Vim
11/22/2016 8:55:09,D,Spaces,Terminal,Scala,Linux,Chrome,Vim
11/22/2016 9:02:04,C,Tabs,GUI,Python,Linux,Chrome,IntelliJ
11/22/2016 10:20:07,D,Tabs,Terminal,C++,Linux,Chromium,Sublime Text
11/22/2016 10:19:39,D,Tabs,GUI,Scala,Windows 10,Chrome,Eclipse
11/22/2016 10:20:35,D,Tabs,GUI,Java,macOS,Chrome,IntelliJ
11/22/2016 10:20:45,D,Tabs,Terminal,Javascript,Linux,Chrome,Atom
11/22/2016 10:21:06,D,Tabs,GUI,Java,Windows 7,Firefox,Eclipse
11/22/2016 10:21:21,D,Tabs,Terminal,Scala,Linux,Chrome,IntelliJ
11/22/2016 10:21:23,D,Tabs,GUI,Java,Linux,Chrome,Eclipse
11/22/2016 10:21:42,D,Tabs,GUI,Scala,Windows 10,Opera,Eclipse
11/22/2016 10:26:04,D,Tabs,Terminal,Javascript,macOS,Firefox,Sublime Text
11/22/2016 10:46:55,D,Tabs,GUI,C#,Windows 10,Chrome,Visual Studio
11/22/2016 11:07:00,D,Tabs,GUI,Scala,Linux,Firefox,Vim
11/22/2016 11:18:50,W,Spaces,Terminal,MATLAB,Windows 10,Chrome,Eclipse
11/22/2016 12:23:11,D,Tabs,GUI,Scala,Linux,Chrome,Gedit
11/22/2016 13:05:19,F,Tabs,GUI,Scala,macOS,Chrome,Visual Studio
11/22/2016 17:18:22,D,Tabs,GUI,C#,Windows 7,Chrome,Visual Studio
11/22/2016 17:18:55,D,Tabs,Terminal,Scala,Windows 10,Chrome,NetBeans
11/22/2016 17:18:59,D,Tabs,GUI,C#,Windows 10,Firefox,Eclipse
11/22/2016 17:19:07,D,Tabs,GUI,Java,Windows 7,Chrome,NetBeans
11/22/2016 17:22:13,D,Tabs,Terminal,Scala,Windows 8,Chrome,Vim
11/22/2016 17:23:13,D,Tabs,Terminal,Scala,Linux,Chrome,IntelliJ
11/22/2016 17:24:06,W,Tabs,Terminal,MATLAB,Windows 10,Firefox,Eclipse
11/22/2016 17:30:19,D,Tabs,GUI,C#,Windows 10,Chrome,IntelliJ
11/22/2016 17:37:11,D,Tabs,GUI,Java,macOS,Chrome,Eclipse
11/22/2016 17:37:22,D,Tabs,GUI,Java,Windows 10,Chrome,Eclipse
11/22/2016 17:44:42,D,Tabs,GUI,Scala,Linux,Chrome,IntelliJ
11/22/2016 17:46:05,D,Tabs,GUI,Scala,Windows 8,Chrome,IntelliJ
11/22/2016 17:49:49,D,Tabs,Terminal,Scala,Linux,Firefox,IntelliJ
11/22/2016 17:51:29,D,Tabs,GUI,Scala,Windows 7,Chrome,IntelliJ
11/22/2016 17:54:20,D,Tabs,Terminal,Scala,Windows 10,Chrome,Notepad++
11/22/2016 18:06:27,D,Tabs,GUI,Scala,Windows 10,Chrome,Eclipse
11/22/2016 18:08:58,D,Tabs,GUI,Scala,Linux,Chrome,IntelliJ
11/22/2016 18:28:10,D,Tabs,GUI,C#,Windows 10,Edge,IntelliJ
11/22/2016 18:36:16,C,Tabs,GUI,Scala,macOS,Safari,Vim
11/22/2016 18:51:46,D,Tabs,GUI,Scala,Windows 10,Chrome,Eclipse
11/22/2016 19:18:14,D,Tabs,Terminal,Scala,Windows 10,Chrome,Notepad++
11/22/2016 19:29:06,D,Tabs,GUI,Scala,macOS,Chrome,Eclipse
11/22/2016 19:42:31,D,Tabs,GUI,Scala,Windows 7,Chrome,IntelliJ
11/22/2016 19:57:12,D,Spaces,GUI,Scala,Windows 10,Chrome,Eclipse
11/22/2016 20:55:01,D,Tabs,GUI,Scala,Linux,Chrome,Atom
11/22/2016 21:15:44,D,Tabs,GUI,Java,Windows 10,Chrome,Eclipse
11/22/2016 21:21:51,D,Tabs,Terminal,C++,Linux,Firefox,Visual Studio
11/22/2016 22:00:29,D,Tabs,Terminal,Scala,Linux,Chromium,IntelliJ
11/22/2016 22:18:50,W,Tabs,Terminal,Scala,Windows 10,Chrome,Eclipse
11/22/2016 22:29:17,D,Tabs,GUI,Javascript,Linux,Chrome,Eclipse
11/22/2016 23:08:44,D,Tabs,GUI,Python,Windows 10,Chrome,IntelliJ
11/22/2016 23:26:53,D,Tabs,GUI,Scala,Windows 7,Firefox,IntelliJ
11/23/2016 8:03:14,D,Spaces,Terminal,Ruby,Windows 10,Opera,Atom
11/23/2016 8:18:31,D,Tabs,GUI,C#,Windows 10,Chrome,Visual Studio
11/23/2016 10:15:19,D,Spaces,Terminal,Scala,macOS,Firefox,Sublime Text
11/23/2016 11:04:54,D,Tabs,GUI,Scala,Windows 10,Chrome,Visual Studio
11/23/2016 11:10:46,D,Spaces,GUI,Scala,macOS,Firefox,IntelliJ
11/23/2016 12:06:04,D,Tabs,GUI,C,Windows 10,Chrome,Eclipse
11/23/2016 13:06:28,D,Tabs,GUI,Scala,Windows 10,Chrome,Eclipse
